thottacharya,தொட்டாச்சார்ய
uchchikkilai,உச்சிக்கிளை
kaelvikkurigaludan,கேள்விக்குறிகளுடன்
poakkirkaakaththaan,போக்கிற்காகத்தான்
poaradiththirukkum,போரடித்திருக்கும்
yaavarilirunthu,யாவரிலிருந்து
vaetha,வேத
dispensory,டிஸ்பன்சரி
caine,கேயின்
jattiyumillama,ஜட்டியுமில்லாம
pettruthiruppich,பெற்றுதிருப்பிச்
manaiviyaiyudaiya,மனைவியையுடைய
sudappadugindrathu,சுடப்படுகின்றது
thongavittaar,தொங்கவிட்டார்
ullaadaiyaagavae,உள்ளாடையாகவே
irukkingalaa,இருக்கிங்களா
thoguththaarendru,தொகுத்தாரென்று
poruvilangaa,பொருவிளங்கா
mukarkiraan,முகர்கிறான்
koodaaramittuth,கூடாரமிட்டுத்
vararusiyaar,வரருசியார்
ichchahithya,இச்சாஹித்ய
thanippattareethiyaaga,தனிப்பட்டரீதியாக
niruvanamayamaakkal,நிறுவனமயமாக்கல்
kulatthalaivarukkena,குலத்தலைவருக்கென
koattaivilimpugalil,கோட்டைவிளிம்புகளில்
vanththavargalaana,வந்தவர்களான
kongunjaani,கொங்குஞானி
praema,பிரேம
agalinian,அகலினியன்
bearangkal,பேரங்கள்
iruppaaivu,இருப்பாய்வு
malaikkuravap,மலைக்குறவப்
valiyuruththathiyullathu,வலியுறுத்ததியுள்ளது
endhavaasal,எந்தவாசல்
paaraseekarkalaip,பாரசீகர்களைப்
uyarnilaiyil,உயர்நிலையில்
paramparaiyir,பரம்பரையிற்
sevidaakkum,செவிடாக்கும்
ilaippakkam,இலைப்பக்கம்
amaiththirukkiraai,அமைத்திருக்கிறாய்
inaivuth,இணைவுத்
thiyaananilaiyil,தியானநிலையில்
sirakkumenru,சிறக்குமென்று
thunin,துணின்
manamkollamudiyum,மணம்கொள்ளமுடியும்
mugatharisanaththaip,முகதரிசனத்தைப்
meetkappda,மீட்கப்ப்ட
varalaattrupiraknyaiyum,வரலாற்றுபிரக்ஞையும்
paarkkiravarkalidam,பார்க்கிறவர்களிடம்
saaththiyiruppathu,சாத்தியிருப்பது
asaipoattup,அசைபோட்டுப்
karuviyiliruntha,கருவியிலிருந்த
piraanithaannaalum,பிராணிதான்னாலும்
vaikkappattathaalthaan,வைக்கப்பட்டதால்தான்
vilakkamaaththaal,விளக்கமாத்தால்
kirikkettarumaana,கிரிக்கெட்டருமான
ninaivuppaduththa,நினைவுப்படுத்த
nigithi,நிகிதி
kurthukkalin,குர்துக்களின்
kadamaiseiyum,கடமைசெய்யும்
piramaanappaththirangkal,பிரமாணப்பத்திரங்கள்
vivaathaththiranaiyum,விவாதத்திறனையும்
piyumaana,பியுமான
jiggle,ஜிக்கில்
manamudiththuvaiththaar,மணமுடித்துவைத்தார்
marainththaalaam,மறைந்தாளாம்
vanappaguthiyilum,வனப்பகுதியிலும்
thiruththamudiyaathu,திருத்தமுடியாது
ulmoochchaagavum,உள்மூச்சாகவும்
saripaarpu,சரிபார்பு
poosapadukirathu,பூசபடுகிறது
azhiththalirku,அழித்தலிற்கு
azhagiyathaakkiyathu,அழகியதாக்கியது
aalbangkalthaan,ஆல்பங்கள்தான்
thalayanaikkaruke,தலையணைக்கருகே
inthappoovin,இந்தப்பூவின்
kodutthuttuk,கொடுத்துட்டுக்
paduththiyathaip,படுத்தியதைப்
sevvendhi,செவ்வேந்தி
utkaruvinai,உட்கருவினை
heeroakkalai,ஹீரோக்களை
nilaippaadugalilaeyae,நிலைப்பாடுகளிலேயே
vaaylaernththu,வாய்லேர்ந்து
mudiyamaamal,முடியமாமல்
paniyaravu,பணியறவு
alberton,ஆல்பெர்ட்டன்
naalkaattiyaip,நாள்காட்டியைப்
ganeshguri,கணேஷ்குரி
padaiyaniyaagak,படையணியாகக்
paenaavontru,பேனாவொன்று
moadiyilirunthu,மோடியிலிருந்து
pettruyullaar,பெற்றுயுள்ளார்
uravaadugiraal,உறவாடுகிறாள்
odhukkappaduvaar,ஒதுக்கப்படுவார்
paalakkaattukkum,பாலக்காட்டுக்கும்
paadalagalai,பாடலகளை
mantharaikku,மந்தரைக்கு
neettukirathoa,நீட்டுகிறதோ
konjaamalum,கொஞ்சாமலும்
mudivuvaakkil,முடிவுவாக்கில்
paarththibarum,பார்த்திபரும்
nirppanthiththulla,நிர்ப்பந்தித்துள்ள
irattaivaedangkal,இரட்டைவேடங்கள்
maksur,மக்சூர்
perusakkinaar,பெருசாக்கினார்
peyarvatharku,பெயர்வதற்கு
nadanthumudinja,நடந்துமுடிஞ்ச
ethirikalaakath,எதிரிகளாகத்
thiruneetruppachchalai,திருநீற்றுப்பச்சலை
kavidhaigaludaiya,கவிதைகளுடைய
arulanandasamy,அருளானந்தசாமி
thiruvalarselvan,திருவளர்செல்வன்
veerapaandiyil,வீரபாண்டியில்
ragasiyamoa,ரகசியமோ
iraiththanthaiyaal,இறைத்தந்தையால்
thallivaikkavillai,தள்ளிவைக்கவில்லை
thallappadak,தள்ளப்படக்
gnaaniyargalaiyum,ஞானியர்களையும்
perupavarkalaaka,பெறுபவர்களாக
ingkuvanththulloam,இங்குவந்துள்ளோம்
thamaiyanodu,தமையனோடு
amaithiyaagakidanthathu,அமைதியாககிடந்தது
avaraippaarththapoathu,அவரைப்பார்த்தபோது
arjendinaavudanaana,அர்ஜென்டினாவுடனான
pathittaip,பதிட்டைப்
kuzhappukirathaa,குழப்புகிறதா
kattidangalumae,கட்டிடங்களுமே
azhivirkae,அழிவிற்கே
uruthiyaliththavattrai,உறுதியளித்தவற்றை
kettiruntha,கெட்டிருந்த
pinthalai,பின்தலை
kalliyaip,கள்ளியைப்
kizhavigalai,கிழவிகளை
keezhppuramaagavum,கீழ்ப்புறமாகவும்
poagavidalai,போகவிடலை
thaniththuvidappaduvar,தனித்துவிடப்படுவர்
puyamum,புயமும்
naayakkarukkuch,நாயக்கருக்குச்
mukkulangkalum,முக்குலங்களும்
vaerupattathaakak,வேறுபட்டதாகக்
kidaikkapperuvadhanai,கிடைக்கப்பெறுவதனை
pulikkavidaamal,புளிக்கவிடாமல்
adukkanumnu,அடுக்கணும்னு
uraniruvanangkalin,உரநிறுவனங்களின்
thadumanaana,தடுமனான
kiristhavanaagiya,கிறிஸ்தவனாகிய
purinthirukkira,புரிந்திருக்கிற
kaaliyaagoavil,காளியாகோவில்
maappiyaakkalidam,மாப்பியாக்களிடம்
kalvipettravar,கல்விபெற்றவர்
puththakththin,புத்தக்த்தின்
eravaalum,இரவாளும்
valimaiyullathu,வலிமையுள்ளது
nadavaathathupoala,நடவாததுபோல
avvinangkal,அவ்வினங்கள்
ravimurugan,ரவிமுருகன்
nambikaiyinaalaa,நம்பிக்கையினாலா
ivaraiththamizhargal,இவரைத்தமிழர்கள்
paraviyathaippoal,பரவியதைப்போல்
iruppavargalukkaana,இருப்பவர்களுக்கான
kurippathaanathu,குறிப்பதானது
devathaasigalukkuk,தேவதாசிகளுக்குக்
sethukkiyathum,செதுக்கியதும்
kattazhagaalum,கட்டழகாலும்
paduthalaith,படுதலைத்
mandiyidugindra,மண்டியிடுகின்ற
murankolla,முரண்கொள்ள
thookkiveesappatta,தூக்கிவீசப்பட்ட
sollarathanaala,சொல்லறதனால
viruppar,விருப்பர்
benoni,பெனோனி
idathusaarigal,இடதுசாரிகள்
aasiyaigal,ஆசியைகள்
ubakaarigalin,உபகாரிகளின்
sagathigalaaga,சகதிகளாக
maraiyavidap,மறையவிடப்
veettuppaniyil,வீட்டுப்பணியில்
vattikuraippu,வட்டிகுறைப்பு
nagarthalin,நகர்தலின்
ragasyamaagap,ரகஸ்யமாகப்
malarththiyum,மலர்த்தியும்
marudhapaandi,மறுதபாண்டி
mookkudaiththu,மூக்குடைத்து
ulakkaip,உலக்கைப்
kolaiyaalaraik,கொலையாளரைக்
kuripidath,குறிப்பிடத்
unarnthukondaethaan,உணர்ந்துகொண்டேதான்
