kuberastatra,कुबेरस्तत्र
praagasadroopabhaanasy,प्रागसद्रूपभानस्य
moortaamoortajagadwapuh,मूर्तामूर्तजगद्वपुः
vimshatyadhikaani,विंशत्यधिकानि
yatipranavakalpasya,यतिप्रणवकल्पस्य
paalanapuratah,पालनपुरतः
lingasyaadhastanam,लिङ्गस्याधस्तनं
vicharenmaunee,विचरेन्मौनी
swashishyayanukampaya,स्वशिष्यायानुकम्पया
vichaaraabhaavaachch,विचाराभावाच्च
rutuvarnanadvaaraa,ऋतुवर्णनद्वारा
vitteshwaram,वित्तेश्वरं
gandharvapattanamidam,गन्धर्वपत्तनमिदं
pandaavat,पण्डावत्
tatpunaryasya,तत्पुनर्यस्य
kuryaadwipraah,कुर्याद्विप्राः
sarvasamhaarakam,सर्वसंहारकं
mandeekruta,मन्दीकृत
mokshasaadhanopadeshavidhim,मोक्षसाधनोपदेशविधिं
samruddhayashas,समृद्धयशस्
paramashivamadhikrutya,परमशिवमधिकृत्य
shaktavadgachannih,शक्तवद्गच्छन्निः
poojaneadhikruto,पूजनेऽधिकृतो
mahaayoginbhramantah,महायोगिन्भ्रमन्तः
nishkatrayapadaa,निष्कत्रयपदा
tatvamaksharamiti,तत्वमक्षरमिति
vichaaraadhikruto,विचाराधिकृतो
tantrayuktibhih,तन्त्रयुक्तिभिः
payoruhadrushaam,पयोरुहदृशां
runavaan,ऋणवान्
pradeeryate,प्रदीर्यते
ravibhaagamaashrite,रविभागमाश्रिते
dhvajavruksha,ध्वजवृक्ष
hasticharmaambarasuto,हस्तिचर्माम्बरसुतो
sthalanilay,स्थलनिलय
devanaamrushinaam,देवनामृषीणां
yadanishtasaagare,यदनिष्टसागरे
achaurashchaurashankaayaam,अचौरश्चौरशङ्कायां
deshonnataye,देशोन्नतये
vaayvaadikoneshu,वाय्वादिकोणेषु
kimaakaar,किमाकार
chenchurutti,चेञ्चुरुट्टि
krushnaahihi,कृष्णाहिः
dvaavasya,द्वावस्य
hyaswadeerghetyaadi,ह्यस्वदीर्घेत्यादि
chavargapanchamasya,चवर्गपञ्चमस्य
sarwotpaatanibarhanaih,सर्वोत्पातनिबर्हणैः
tantravaayen,तन्त्रवायेन
abhayavaradamudraadhaarini,अभयवरदमुद्राधारिणि
tanmayatvadanadyante,तन्मयत्वादनाद्यन्ते
bhrushasankruddhaah,भृशसंक्रुद्धाः
sahasrenaikaikam,सहस्रेणैकैकं
sampashyat,सम्पश्यत्
krutisamuchchaye,कृतिसमुच्चये
twadhikah,त्वधिकः
adabhradarbhaamadhishayya,अदभ्रदर्भामधिशय्य
shodhopaadhaye,शोधोपाधये
aamoolachool,आमूलचूल
chaaruruche,चारुरुचे
badho,बधो
prakrutirbudhah,प्रकृतिर्बुधः
karmaseniya,कर्मसेनीय
dushtadamano,दुष्टदमनो
truteenaathena,तृतीनाथेन
shubhamashubhancheti,शुभमशुभञ्चेति
shreyaanityayamasy,श्रेयानित्ययमस्य
avyaktaroopena,अव्यक्तरूपेण
sakuntalopaakhyaan,सकुन्तलोपाख्यान
prakurvatastasya,प्रकुर्वतस्तस्य
tatashchhaatrairadheeteyam,ततश्छात्रैरधीतेयं
tvaccharanau,त्वच्चरणौ
bhashayamapyupapannam,भाषायामप्युपपन्नं
vishamalalaataa,विषमललाटा
bruvansaakshee,ब्रुवन्साक्षी
bruhadbaahave,बृहद्बाहवे
praptavyavaharanam,प्राप्तव्यवहाराणां
pratisimha,प्रतिसिंह
bahupoorvaachche,बहुपूर्वाच्चे
tadapekshya,तदपेक्ष्य
augrasenyah,औग्रसेन्यः
brahmapujitam,ब्रह्मपूजिताम्
paarvateevallabhaay,पार्वतीवल्लभाय
vishayaprastutihi,विषयप्रस्तुतिः
mityaapuk,मित्यापुक्
rogashabden,रोगशब्देन
maatrushraaddha,मातृश्राद्ध
nasadasinno,नासदासीन्नो
antarmaniravam,अन्तर्मणिरवं
payodehim,पयोदेहिं
mahaabhairavam,महाभैरवं
shreeraamabhaktiras,श्रीरामभक्तिरस
prodeeptavahnih,प्रोदीप्तवह्निः
patibhaktiparaah,पतिभक्तिपराः
atharvavedaproktaishcha,अथर्ववेदप्रोक्तैश्च
maanasaapi,मानसापि
saayakaistau,सायकैस्तौ
dhautaadhautagiraam,धौताधौतगिरां
prastaawapaddhatih,प्रस्तावपद्धतिः
samrakshatorgauravam,संरक्षतोर्गौरवम्
bhavateetyeshoa,भवतीत्येषोऽ
bilwamangal,बिल्वमङ्गल
etatpratilabdhavaagasou,एतत्प्रतिलब्धवागसौ
sarvantarataryamin,सर्वान्तरातर्यामिन्
smuts,स्मट्स्
gurubhistyajyate,गुरुभिस्त्यज्यते
vrukshashikharaat,वृक्षशिखरात्
ktwaanamulaadayah,क्त्वाणमुलादयः
vayumatra,वायुमात्रा
vikoshaah,विकोशाः
tuzase,तुझसे
viravaakya,विरवाक्य
varnaneapi,वर्णनेऽपि
teekhaa,तीखा
trisandhye,त्रिसन्ध्ये
mahaakati,महाकटि
tatposhastenaashtau,तत्पोषस्तेनाष्टौ
taandavapriyam,ताण्डवप्रियं
peetavastradhruk,पीतवस्त्रधृक्
shashthyanto,षष्ठ्यन्तो
chalakabijarupam,चालकबीजरूपं
shastriyam,शास्त्रीयं
atishankaam,अतिशङ्कां
ucchairoodhrvabhaage,उच्चैरूध्र्वभागे
praakrutikaani,प्राकृतिकानि
rakshahkulaantakrut,रक्षःकुलान्तकृत्
pradoshaprabhaakaaro,प्रदोषप्रभाकारो
nehaayurvindate,नेहायुर्विन्दते
harivanditaa,हरिवन्दिता
tatoabhavattasya,ततोऽभवत्तस्य
swargapradhaana,स्वर्गप्रधान
manmatharoopadhruk,मन्मथरूपधृक्
tonsepaaru,तोन्सेपारु
kanisauni,कणिसौनि
sheshaatkartareeti,शेषात्कर्तरीति
nandineepeetaaya,नन्दिनीपीठाय
pushyaatksheme,पुष्यात्क्षेमे
divyamavyaktamajaram,दिव्यमव्यक्तमजरं
dakshasyaaham,दक्षस्याहं
kushadweepeshwarasyaapi,कुशद्वीपेश्वरस्यापि
nindaadiswatthesu,निन्दादिस्वत्थेसु
shaabdamaupamyam,शाब्दमौपम्यम्
shrirudramantram,श्रीरुद्रमन्त्रं
papasukham,पापसुखं
acchinnabhaktaashcha,अच्छिन्नभक्ताश्च
bheemadhanwaanah,भीमधन्वानः
selammandalaat,सेलंमण्डलात्
padasyetyayamadhikaarah,पदस्येत्ययमधिकारः
taapyaayai,ताप्यायै
nihswapnaaya,निःस्वप्नाय
maamabhishyaaditi,मामभिष्यादिति
guhaayaah,गुहायाः
aapurubhayostapaswinah,आपुरुभयोस्तपस्विनः
zalaadisanah,झलादिसनः
twadhigachheyam,त्वधिगच्छेयं
divyaratnaanchite,दिव्यरत्नाञ्चिते
aravari,अरवरी
subahuroop,सुबहुरूप
vinashti,विनष्टि
sidhmaadibhyah,सिध्मादिभ्यः
vaayuchiti,वायुचिति
anuchitakaaryaarambhah,अनुचितकार्यारम्भः
graavabhirnasate,ग्रावभिर्नसते
gurjari,गुर्जरी
paarijaatasy,पारिजातस्य
bahubuddhyaadhyo,बहुबुद्ध्याढ्यो
laabhaallobhah,लाभाल्लोभः
vishishtasanghatakah,विशिष्टसङ्घटकः
dhanamasyaasteeti,धनमस्यास्तीति
phauravyaayanihi,फौरव्यायणिः
vikrayanasya,विक्रयणस्य
kalahakrun,कलहकृन्
dvishantapa,द्विषन्तप
kshitidharam,क्षितिधरं
darpanothatvamitrajit,दर्पणोथत्वमित्रजित्
chakshuraalokanaayaiv,चक्षुरालोकनायैव
sharala,शराला
aadhunikavedyakeeyasevaam,आधुनिकवेद्यकीयसेवां
bruhattamaat,बृहत्तमात्
kalaakaarah,कलाकारः
vrushtirvarsham,वृष्टिर्वर्षं
parasharabhatta,पराशरभट्टः
rajalayam,राजालयं
pratyarkam,प्रत्यर्कं
bhavantamanimesha,भवन्तमनिमेष
stastaasu,स्तस्तासु
prakalpike,प्रकल्पिके
tadoordhvameeritam,तदूर्ध्वमीरितम्
sukhamavyayam,सुखमव्ययम्
padasmaa,पदस्मा
vyangyatrayam,व्यङ्ग्यत्रयं
himsrakarmachaaribhih,हिंस्रकर्मचारिभिः
shrisambhuta,श्रीसम्भूता
maovaadinaha,माओवादिनः
rasannibhaanaam,रसन्निभानां
bahirdwaarin,बहिर्द्वारिन्
nirantarasukhapradaayai,निरन्तरसुखप्रदायै
kutashchiddeshaadaagaty,कुतश्चिद्देशादागत्य
